row,column,triggers,text_snippet
21,context,['suicide'],"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I"
22,context,['suicide'],"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I"
161,context,['i am worthless'],I am the problem. I make my family argue because of me. My mom has even said it. It's constantly like this. I cause problems. I am worthless. I can't stop crying. Sometimes I have to cry myself to sle
240,context,['suicide'],"Both of my parents committed suicide together, and I was the one who found them. I suffer from overwhelming depression, which is having an extreme effect on me and my husband’s sex lives. He does not "
567,context,['i hurt myself'],"Whenever I don't tell my friends or anyone what I did or stuff that's not really important, I feel terrible, like there’s a hole in my stomach. It only goes away when I hurt myself."
568,context,['i hurt myself'],"Whenever I don't tell my friends or anyone what I did or stuff that's not really important, I feel terrible, like there’s a hole in my stomach. It only goes away when I hurt myself."
671,context,['suicide'],The birth mother attempted suicide several times while pregnant. The adopted mother was terminally ill upon adopting the baby and died when the child was just over one year old. The adopted father the
973,context,['suicide'],I recently lost a friend to suicide. I'm smoking marijuana and drinking more to cope with it. How can I handle this better?
974,context,['suicide'],I recently lost a friend to suicide. I'm smoking marijuana and drinking more to cope with it. How can I handle this better?
975,context,['suicide'],I recently lost a friend to suicide. I'm smoking marijuana and drinking more to cope with it. How can I handle this better?
976,context,['suicide'],I recently lost a friend to suicide. I'm smoking marijuana and drinking more to cope with it. How can I handle this better?
977,context,['suicide'],I recently lost a friend to suicide. I'm smoking marijuana and drinking more to cope with it. How can I handle this better?
978,context,['suicide'],I recently lost a friend to suicide. I'm smoking marijuana and drinking more to cope with it. How can I handle this better?
979,context,['suicide'],I recently lost a friend to suicide. I'm smoking marijuana and drinking more to cope with it. How can I handle this better?
1130,context,['suicide'],"I went to my ex-boyfriend to reach out to one of his high school friends who's attempted to commit suicide. When I went to him to reach out to his high school friend, he told me that I put him in a te"
1131,context,['suicide'],"I went to my ex-boyfriend to reach out to one of his high school friends who's attempted to commit suicide. When I went to him to reach out to his high school friend, he told me that I put him in a te"
1144,context,['suicide'],"My boyfriend lost his dad to suicide. He says that because his dad died, so did his heart. He says that he can't be there for me or love me anymore and wants nothing to do with me ever again. Why is h"
1621,context,['i am worthless'],I have several issues like I don't like people. They make me sick. I have issues with talking to people. I feel like they are talking about me and making fun of me. I have felt this way for years. Whe
2316,context,['i hurt myself'],"Whenever I don't tell my friends or anyone what I did or stuff that's not really important, I feel terrible, like there’s a hole in my stomach. It only goes away when I hurt myself."
2318,context,['i hurt myself'],"Whenever I don't tell my friends or anyone what I did or stuff that's not really important, I feel terrible, like there’s a hole in my stomach. It only goes away when I hurt myself."
2598,context,['i am worthless'],I have several issues like I don't like people. They make me sick. I have issues with talking to people. I feel like they are talking about me and making fun of me. I have felt this way for years. Whe
2720,context,['suicide'],I recently lost a friend to suicide.  I'm smoking marijuana and drinking more to cope with it. How can I handle this better?
2722,context,['suicide'],I recently lost a friend to suicide.  I'm smoking marijuana and drinking more to cope with it. How can I handle this better?
2723,context,['suicide'],I recently lost a friend to suicide.  I'm smoking marijuana and drinking more to cope with it. How can I handle this better?
2725,context,['suicide'],I recently lost a friend to suicide.  I'm smoking marijuana and drinking more to cope with it. How can I handle this better?
2731,context,['suicide'],I recently lost a friend to suicide.  I'm smoking marijuana and drinking more to cope with it. How can I handle this better?
2736,context,['suicide'],I recently lost a friend to suicide.  I'm smoking marijuana and drinking more to cope with it. How can I handle this better?
2920,context,['suicide'],"Both of my parents committed suicide together, and I was the one who found them. I suffer from overwhelming depression, which is having an extreme effect on me and my husband’s sex lives. He does not "
2935,context,['suicide'],"I went to my ex-boyfriend to reach out to one of his high school friends who's attempted to commit suicide. When I went to him to reach out to his high school friend, he told me that I put him in a te"
3437,context,['suicide'],I recently lost a friend to suicide.  I'm smoking marijuana and drinking more to cope with it. How can I handle this better?
3509,context,['suicide'],The birth mother attempted suicide several times while pregnant. The adopted mother was terminally ill upon adopting the baby and died when  the child was just over one year old.  The adopted father t
1,response,['suicide'],"Hello, and thank you for your question and seeking advice on this. Feelings of worthlessness is unfortunately common. In fact, most people, if not all, have felt this to some degree at some point in t"
14,response,['i am worthless'],"You have
several things going on here. The sleep should be addressed with a primary care
physician to rule out any physical issues. Sleep is the big reset and allows us
to function in the day. What ha"
15,response,['suicide'],"Hello, you sound like you have so much on your mind! I am relieved to hear that you have never tried or have contemplated suicide, but not being able to sleep, feeling worthless, and like you shouldn'"
117,response,['suicide'],"Cold climate is often accompanied by grey skies, snow and
ice. The elements along with wind, windchill and severely cold temperatures may
lead to feelings of sadness, anxiety, and low energy. For some"
167,response,['suicide'],Hang in there! Feeling depressed sucks but talking with someone can really help - so its awesome that you're already trying to figure out how to find that person. Tons of good suggestions already but 
171,response,['suicide'],"Depression has many different signs and symptoms and looks different for every person.  Often times people think depression is more about feeling ""sad,"" but depression can, in fact, express itself thr"
202,response,['suicide'],"I'm sorry you feel so alone and isolated, those feelings in and of themselves can lead to depression, stress and anxiety.  So job one is finding someone you can talk to.  A good friend or an open pare"
215,response,['suicide'],"Hello, and thank you for your question. This is a very serious time. I don't mean to frighten you, but you are right to be concerned. The time right after people leave the hospital after receiving psy"
216,response,['suicide'],"This is actually more common then we often realize, and actually understandable, as he has gone through a trauma, an unresolved existential crisis.  He was taken care of by others and now is again lef"
217,response,['suicide'],"I'm thankful to read your husband found care and that his suicide attempt wasn't successful.   While he was hospitalized, and prior to his release, your husband would've been provided in writing a sel"
220,response,['suicide'],"A failed suicide attempt is commonly thought of as a “cry for help,” however it can also be a serious attempt to find a permanent solution to depression, hopelessness or other feelings a person feels "
222,response,['suicide'],"Since as husband and wife your lives are closely joined, how your husband feels greatly influences the way you feel.Give yourself some time to concentrate on how you've been affected by your husband's"
223,response,['suicide'],It seems like you are very receptive of your husband’s emotions and want to support him trough this time.  But it is also important of being aware of your emotions.  How are you feeling after the suic
241,response,['suicide'],"Seeking professional help does not mean that you will necessarily be admitted into an inpatient setting - though  to be honest, that can become an option if you feel unsafe or if you are unable to pla"
301,response,['suicide'],Good question. There are resources out there - people to talk to. I'd try going to this link and calling the free 24/7 hotline: http://www.suicidepreventionlifeline.org/
313,response,['suicide'],I am very sorry for the pain you are suffering. Losing the most significant person in your life is extremely painful and breakups are often equated to a death. There will certainly be a grieving proce
394,response,['suicide'],"Sounds like a lot is going on right now at such a young age. I'd start with discussing with mom your concerns and ideal situation. I'm unsure what prevents you from staying there, but whoever you are "
670,response,['suicide'],You wrote a very full family context w many directions to examine.Do you know or can you find out what the grandma and your daughter were doing in the evening of the screaming episode?Is it possible t
973,response,['suicide'],"Suicide is not a natural way to pass from this Earth, so many times it can be EXTREMELY tough to deal with because of the ""unnatural-ness"" of the event. We may find ourselves feeling guilty that we di"
975,response,['suicide'],"I urge you to seek some therapeutic help for this, and also to connect with others who knew your friend, because they're likely feeling the same way. Suicide is difficult to understand, and those left"
976,response,['suicide'],Suicide is a very traumatic loss and affects survivors significantly. Everyone deals with their grief in different ways. One way I recommend to deal with the loss of a loved one is to write letters to
1130,response,['suicide'],Your compassionate reach out to the friend is praiseworthy.That your ex bf has trouble accepting your gesture as kindness shows your ex bf is not seeing the situation clearly.I believe your ex bf's wo
1433,response,"[""i don't want to live""]","Hi Cleveland, I think I get what you're feeling. You're scared that if you forgive your mom, that would mean it wasn't so bad, or she'll think it's okay to do it again, or she won't realize how hurt y"
1710,response,['suicide'],"Hello, and thank you for your question. I am so glad that you reached out for help. I know that the dysphoria can feel nearly impossible to handle, especially since you have limited support from peopl"
1711,response,['suicide'],"This is a difficult situation to be in, as it sounds like you are feeling very isolated from both your family and your friends.   I don't know your age or gender so please excuse any incorrect assumpt"
1858,response,['suicide'],"Hello, and thank you for your question. This is a very serious time. I don't mean to frighten you, but you are right to be concerned. The time right after people leave the hospital after receiving psy"
1859,response,['suicide'],"This is actually more common then we often realize, and actually understandable, as he has gone through a trauma, an unresolved existential crisis.  He was taken care of by others and now is again lef"
1860,response,['suicide'],"I'm thankful to read your husband found care and that his suicide attempt wasn't successful.   While he was hospitalized, and prior to his release, your husband would've been provided in writing a sel"
1863,response,['suicide'],"A failed suicide attempt is commonly thought of as a “cry for help,” however it can also be a serious attempt to find a permanent solution to depression, hopelessness or other feelings a person feels "
1865,response,['suicide'],"Since as husband and wife your lives are closely joined, how your husband feels greatly influences the way you feel.Give yourself some time to concentrate on how you've been affected by your husband's"
1866,response,['suicide'],It seems like you are very receptive of your husband’s emotions and want to support him trough this time.  But it is also important of being aware of your emotions.  How are you feeling after the suic
2336,response,['suicide'],I am very sorry for the pain you are suffering. Losing the most significant person in your life is extremely painful and breakups are often equated to a death. There will certainly be a grieving proce
2410,response,"[""i don't want to live""]","Hi Cleveland, I think I get what you're feeling. You're scared that if you forgive your mom, that would mean it wasn't so bad, or she'll think it's okay to do it again, or she won't realize how hurt y"
2493,response,['suicide'],Good question. There are resources out there - people to talk to. I'd try going to this link and calling the free 24/7 hotline: http://www.suicidepreventionlifeline.org/
2725,response,['suicide'],Suicide is a very traumatic loss and affects survivors significantly. Everyone deals with their grief in different ways. One way I recommend to deal with the loss of a loved one is to write letters to
2727,response,['suicide'],"Hello, and thank you for your question. I am so glad that you reached out for help. I know that the dysphoria can feel nearly impossible to handle, especially since you have limited support from peopl"
2731,response,['suicide'],"Suicide is not a natural way to pass from this Earth, so many times it can be EXTREMELY tough to deal with because of the ""unnatural-ness"" of the event. We may find ourselves feeling guilty that we di"
2736,response,['suicide'],"I urge you to seek some therapeutic help for this, and also to connect with others who knew your friend, because they're likely feeling the same way. Suicide is difficult to understand, and those left"
2791,response,['suicide'],"This is a difficult situation to be in, as it sounds like you are feeling very isolated from both your family and your friends.   I don't know your age or gender so please excuse any incorrect assumpt"
2910,response,['suicide'],"Seeking professional help does not mean that you will necessarily be admitted into an inpatient setting - though  to be honest, that can become an option if you feel unsafe or if you are unable to pla"
3030,response,['suicide'],"This is actually more common then we often realize, and actually understandable, as he has gone through a trauma, an unresolved existential crisis.  He was taken care of by others and now is again lef"
3032,response,['suicide'],"Hello, and thank you for your question. This is a very serious time. I don't mean to frighten you, but you are right to be concerned. The time right after people leave the hospital after receiving psy"
3034,response,['suicide'],"  I'm thankful to read your husband found care and that his suicide attempt wasn't successful.   While he was hospitalized, and prior to his release, your husband would've been provided in writing a s"
3052,response,['suicide'],"A failed suicide attempt is commonly thought of as a “cry for help,” however it can also be a serious attempt to find a permanent solution to depression, hopelessness or other feelings a person feels "
3069,response,['suicide'],It seems like you are very receptive of your husband’s emotions and want to support him trough this time.  But it is also important of being aware of your emotions.  How are you feeling after the suic
3114,response,['suicide'],"Since as husband and wife your lives are closely joined, how your husband feels greatly influences the way you feel.Give yourself some time to concentrate on how you've been affected by your husband's"
3211,response,['suicide'],"Sounds like a lot is going on right now at such a young age. I'd start with discussing with mom your concerns and ideal situation. I'm unsure what prevents you from staying there, but whoever you are "
3288,response,['suicide'],"I'm sorry you feel so alone and isolated, those feelings in and of themselves can lead to depression, stress and anxiety.  So job one is finding someone you can talk to.  A good friend or an open pare"
3346,response,['suicide'],Hang in there! Feeling depressed sucks but talking with someone can really help - so its awesome that you're already trying to figure out how to find that person. Tons of good suggestions already but 
